filename,extension,size_mb,is_scanned,strategy,pii_fields
c460e276-d31a-4b9d-bfca-6fc15606a9dd4. CIE. Error CUPS.pdf,.pdf,0.7819290161132812,False,PyMuPDF,3
ba936905-c816-4771-92e0-8eec54ffb900Delta B1 2A_CEE_V2.pdf,.pdf,0.22668933868408203,False,PyMuPDF,2
0b9beedf-1db8-472f-acd9-2e91b8635741A3B_CEE_V2.pdf,.pdf,0.2552366256713867,False,PyMuPDF,2
ea75a370-4a47-49b6-9937-6201cd0047b51. CFO.pdf,.pdf,0.03334999084472656,False,PyMuPDF,1
4c26ed74-4c44-4de4-9a0a-3f3250ced83e4.2. Memoria Técnica.pdf,.pdf,9.33389949798584,False,PyMuPDF,1
cafc2ba7-5d99-42d0-9386-79e9d08f6663F4A_CEE_V2.pdf,.pdf,0.2559680938720703,False,PyMuPDF,2
64da02c5-448d-48ab-9af6-05b9bacab73ejustificante_registro_solicitud (3).pdf,.pdf,0.27260780334472656,False,PyMuPDF,0
0ebbbb83-4a3c-498e-8ee5-7454060e04abJ01. Informe justificativo-209.pdf,.pdf,0.19038677215576172,False,PyMuPDF,0
bde99277-e934-424b-b815-a6f5f89c031fDelta B15 1B_CEE_V1_Fd.pdf,.pdf,0.33301353454589844,False,PyMuPDF,0
e303bb4d-d1f5-40a0-9049-ef10c6edcf56LPR0105_praast_modelo_informe_justificativo_R.pdf,.pdf,1.8510541915893555,False,PyMuPDF,0
618cee93-0f35-4dd1-81a4-2675465f28531. Solicitud_coope_fase 2.pdf,.pdf,1.5748615264892578,False,PyMuPDF,0
1335932d-7b20-48ef-9c7e-a7b123cfefca1. Solicitud_coope_fase 2.pdf,.pdf,1.5749406814575195,False,PyMuPDF,0
5d3adf4b-1cef-4189-9f33-cbd62fbae8ba3. C316 Solicitud inscripción_fdo.pdf,.pdf,0.2685270309448242,False,PyMuPDF,0
6a1efedc-54ea-46b5-aacb-5bf58cf7bfbfJ01_LPR0704_fd.pdf,.pdf,0.2648811340332031,False,PyMuPDF,0
a1a9afc6-fd9e-4a84-86b6-530f528807583. LRE041 Anexo IRVE.pdf,.pdf,1.221048355102539,False,PyMuPDF,0
c27b20bf-ad88-4495-b13e-a8269dbf7ff63. LRE400 Solicitud.pdf,.pdf,1.0000896453857422,False,PyMuPDF,0
9996d8d2-be4c-4600-8a15-8835e159188c1. CIE IRVE_fdo.pdf,.pdf,0.26108360290527344,False,PyMuPDF,0
a2bfa7dc-2f17-4208-84d0-87ca40ecb1d0J2B_CEE_V2_fd.pdf,.pdf,0.3091249465942383,False,PyMuPDF,0
2dc902c3-a08f-4568-8051-27693b91ddf9J01_LPR0500-5.pdf,.pdf,0.18541622161865234,False,PyMuPDF,0
6de4b603-961d-4e41-a09a-e7a4667d94ef5. LRE387 Solicitud IRVE.pdf,.pdf,0.9987058639526367,False,PyMuPDF,0
